iter	Passed	Remaining
0	7	7379
1	12	6448
2	19	6374
3	25	6262
4	31	6179
5	37	6292
6	44	6315
7	50	6276
8	56	6252
9	63	6276
10	69	6254
11	75	6226
12	82	6249
13	88	6220
14	99	6561
15	111	6850
16	121	7048
17	162	8886
18	181	9393
19	195	9564
20	206	9644
21	220	9797
22	227	9667
23	233	9482
24	250	9753
25	260	9758
26	271	9799
27	286	9958
28	299	10034
29	307	9957
30	315	9847
31	324	9806
32	330	9698
33	335	9520
34	343	9466
35	349	9365
36	357	9291
37	363	9194
38	369	9109
39	376	9035
40	383	8962
41	390	8910
42	397	8836
43	408	8876
44	418	8879
45	428	8891
46	436	8847
47	442	8777
48	449	8717
49	456	8676
50	462	8611
51	469	8553
52	475	8502
53	482	8448
54	488	8399
55	496	8368
56	504	8341
57	512	8322
58	519	8280
59	525	8235
60	533	8215
61	540	8182
62	546	8133
63	552	8084
64	559	8046
65	565	8004
66	571	7962
67	582	7981
68	594	8021
69	607	8071
70	621	8126
71	635	8185
72	652	8283
73	668	8359
74	681	8410
75	698	8497
76	712	8540
77	722	8542
78	729	8505
79	736	8472
80	742	8429
81	750	8396
82	756	8362
83	764	8335
84	778	8379
85	790	8401
86	798	8377
87	804	8340
88	811	8301
89	818	8271
90	824	8236
91	831	8207
92	837	8171
93	843	8131
94	849	8091
95	855	8059
96	861	8022
97	868	7997
98	875	7969
99	881	7932
100	887	7901
101	893	7864
102	899	7835
103	906	7807
104	912	7776
105	918	7746
106	924	7712
107	929	7680
108	935	7646
109	941	7613
110	946	7582
111	952	7554
112	959	7534
113	966	7508
114	970	7465
115	976	7438
116	983	7422
117	989	7395
118	995	7373
119	1003	7359
120	1009	7335
121	1020	7347
122	1031	7357
123	1037	7332
124	1047	7334
125	1065	7387
126	1077	7406
127	1089	7423
128	1103	7448
129	1110	7434
130	1121	7438
131	1130	7432
132	1142	7450
133	1157	7481
134	1167	7477
135	1175	7469
136	1186	7472
137	1196	7475
138	1211	7505
139	1240	7621
140	1275	7771
141	1297	7841
142	1308	7841
143	1315	7819
144	1336	7882
145	1344	7863
146	1352	7849
147	1366	7866
148	1381	7891
149	1399	7929
150	1416	7964
151	1431	7986
152	1447	8011
153	1462	8032
154	1478	8059
155	1496	8095
156	1517	8150
157	1531	8163
158	1545	8175
159	1562	8201
160	1578	8225
161	1605	8304
162	1620	8319
163	1638	8352
164	1655	8377
165	1669	8386
166	1685	8408
167	1701	8427
168	1717	8442
169	1730	8447
170	1745	8459
171	1762	8483
172	1776	8489
173	1791	8502
174	1805	8512
175	1826	8549
176	1841	8563
177	1858	8584
178	1875	8603
179	1893	8624
180	1908	8637
181	1931	8679
182	1944	8679
183	1960	8696
184	1982	8732
185	2016	8826
186	2034	8845
187	2056	8882
188	2065	8864
189	2075	8848
190	2087	8842
191	2102	8848
192	2121	8871
193	2139	8887
194	2153	8890
195	2170	8903
196	2187	8917
197	2207	8941
198	2224	8953
199	2239	8957
200	2256	8968
201	2271	8974
202	2289	8987
203	2307	9004
204	2322	9004
205	2340	9019
206	2355	9022
207	2368	9017
208	2386	9033
209	2399	9028
210	2413	9024
211	2438	9064
212	2460	9091
213	2481	9114
214	2499	9126
215	2526	9169
216	2549	9198
217	2563	9194
218	2586	9225
219	2605	9239
220	2631	9275
221	2644	9267
222	2658	9264
223	2676	9271
224	2701	9305
225	2723	9326
226	2738	9324
227	2756	9332
228	2776	9346
229	2793	9353
230	2806	9342
231	2818	9329
232	2831	9320
233	2845	9313
234	2861	9316
235	2877	9313
236	2890	9306
237	2902	9292
238	2921	9302
239	2938	9304
240	2958	9316
241	2973	9314
242	2992	9322
243	3016	9344
244	3031	9341
245	3053	9360
246	3066	9348
247	3084	9353
248	3105	9367
249	3125	9375
250	3139	9368
251	3160	9382
252	3185	9406
253	3206	9416
254	3221	9410
255	3240	9418
256	3255	9412
257	3275	9419
258	3295	9427
259	3310	9423
260	3327	9421
261	3340	9410
262	3353	9396
263	3371	9400
264	3390	9402
265	3410	9410
266	3432	9422
267	3446	9412
268	3477	9451
269	3499	9461
270	3522	9475
271	3544	9486
272	3563	9489
273	3588	9507
274	3607	9510
275	3623	9505
276	3639	9498
277	3661	9508
278	3679	9509
279	3694	9498
280	3712	9500
281	3728	9494
282	3745	9490
283	3760	9479
284	3773	9465
285	3789	9459
286	3807	9458
287	3823	9451
288	3834	9434
289	3848	9421
290	3865	9416
291	3882	9412
292	3897	9403
293	3914	9399
294	3928	9389
295	3945	9382
296	3958	9368
297	3974	9361
298	3985	9345
299	4001	9336
300	4017	9329
301	4033	9321
302	4051	9319
303	4064	9306
304	4088	9317
305	4108	9317
306	4137	9339
307	4157	9340
308	4173	9332
309	4197	9343
310	4215	9340
311	4240	9351
312	4255	9341
313	4275	9340
314	4290	9329
315	4311	9332
316	4327	9324
317	4346	9322
318	4364	9316
319	4385	9319
320	4408	9325
321	4431	9331
322	4446	9319
323	4475	9338
324	4494	9334
325	4509	9323
326	4534	9332
327	4551	9325
328	4565	9312
329	4582	9303
330	4596	9290
331	4608	9273
332	4623	9260
333	4634	9242
334	4649	9229
335	4664	9217
336	4679	9207
337	4693	9191
338	4721	9206
339	4740	9201
340	4760	9198
341	4775	9188
342	4793	9181
343	4803	9161
344	4811	9135
345	4817	9106
346	4829	9087
347	4841	9070
348	4847	9041
349	4855	9016
350	4861	8988
351	4868	8962
352	4874	8934
353	4883	8911
354	4888	8882
355	4907	8876
356	4921	8863
357	4934	8849
358	4945	8829
359	4952	8803
360	4959	8778
361	4965	8750
362	4978	8735
363	4985	8710
364	4993	8688
365	5005	8670
366	5019	8657
367	5033	8643
368	5043	8624
369	5055	8607
370	5071	8597
371	5080	8577
372	5092	8560
373	5108	8550
374	5147	8578
375	5157	8560
376	5168	8540
377	5178	8520
378	5190	8505
379	5203	8489
380	5213	8470
381	5224	8452
382	5236	8435
383	5248	8418
384	5253	8392
385	5259	8366
386	5279	8361
387	5291	8345
388	5303	8330
389	5317	8317
390	5338	8315
391	5361	8315
392	5381	8311
393	5401	8307
394	5415	8295
395	5433	8287
396	5445	8271
397	5456	8253
398	5467	8235
399	5481	8222
400	5492	8204
401	5509	8196
402	5517	8172
403	5529	8156
404	5545	8146
405	5556	8130
406	5571	8117
407	5581	8099
408	5592	8081
409	5605	8066
410	5620	8054
411	5631	8037
412	5649	8029
413	5661	8014
414	5669	7991
415	5681	7975
416	5695	7962
417	5709	7949
418	5714	7923
419	5726	7908
420	5739	7893
421	5749	7875
422	5766	7865
423	5776	7847
424	5788	7830
425	5798	7813
426	5814	7802
427	5848	7816
428	5862	7802
429	5873	7785
430	5888	7773
431	5893	7749
432	5907	7735
433	5912	7711
434	5925	7696
435	5932	7673
436	5938	7650
437	5951	7637
438	5961	7617
439	5976	7606
440	5990	7593
441	6002	7577
442	6015	7563
443	6026	7547
444	6041	7534
445	6053	7519
446	6066	7505
447	6079	7490
448	6085	7467
449	6097	7452
450	6102	7428
451	6113	7411
452	6124	7395
453	6138	7382
454	6150	7367
455	6157	7346
456	6170	7331
457	6181	7315
458	6194	7301
459	6206	7285
460	6214	7265
461	6223	7247
462	6229	7225
463	6237	7205
464	6243	7183
465	6256	7169
466	6266	7152
467	6279	7138
468	6289	7121
469	6308	7113
470	6319	7098
471	6327	7078
472	6339	7063
473	6352	7049
474	6365	7035
475	6377	7020
476	6390	7006
477	6402	6991
478	6415	6977
479	6420	6955
480	6432	6940
481	6444	6926
482	6457	6911
483	6468	6895
484	6482	6883
485	6498	6873
486	6506	6853
487	6516	6837
488	6528	6822
489	6541	6807
490	6555	6796
491	6567	6780
492	6573	6759
493	6585	6745
494	6591	6724
495	6598	6705
496	6605	6685
497	6612	6665
498	6618	6645
499	6626	6626
500	6641	6614
501	6653	6600
502	6669	6589
503	6684	6578
504	6698	6566
505	6709	6549
506	6720	6534
507	6731	6519
508	6748	6509
509	6767	6501
510	6777	6485
511	6785	6467
512	6796	6452
513	6803	6432
514	6810	6413
515	6821	6398
516	6833	6383
517	6845	6370
518	6856	6354
519	6870	6341
520	6883	6328
521	6900	6319
522	6912	6304
523	6923	6289
524	6937	6276
525	6945	6259
526	6954	6241
527	6965	6226
528	6977	6212
529	6987	6196
530	6998	6181
531	7009	6166
532	7023	6153
533	7031	6135
534	7040	6119
535	7048	6101
536	7053	6081
537	7075	6076
538	7084	6059
539	7094	6043
540	7117	6038
541	7132	6026
542	7144	6013
543	7161	6002
544	7173	5988
545	7180	5970
546	7197	5960
547	7209	5946
548	7220	5931
549	7230	5915
550	7257	5914
551	7270	5901
552	7287	5890
553	7302	5879
554	7323	5872
555	7340	5861
556	7358	5852
557	7377	5844
558	7396	5835
559	7419	5829
560	7437	5820
561	7456	5811
562	7474	5801
563	7492	5792
564	7510	5782
565	7522	5768
566	7536	5755
567	7553	5745
568	7566	5731
569	7583	5720
570	7596	5707
571	7610	5694
572	7623	5681
573	7639	5669
574	7652	5656
575	7666	5643
576	7679	5629
577	7695	5618
578	7709	5605
579	7723	5593
580	7737	5579
581	7755	5569
582	7767	5556
583	7782	5543
584	7795	5530
585	7813	5520
586	7826	5506
587	7839	5493
588	7852	5479
589	7864	5464
590	7877	5451
591	7891	5438
592	7908	5427
593	7922	5414
594	7938	5403
595	7952	5390
596	7969	5379
597	7984	5367
598	7999	5355
599	8018	5345
600	8036	5335
601	8049	5322
602	8064	5309
603	8078	5296
604	8093	5284
605	8109	5272
606	8125	5261
607	8140	5248
608	8159	5238
609	8173	5225
610	8193	5216
611	8210	5205
612	8220	5189
613	8234	5176
614	8251	5165
615	8262	5150
616	8273	5135
617	8294	5127
618	8309	5114
619	8320	5099
620	8334	5086
621	8352	5075
622	8362	5060
623	8378	5048
624	8396	5037
625	8409	5024
626	8426	5012
627	8440	4999
628	8456	4987
629	8470	4974
630	8489	4964
631	8511	4955
632	8536	4949
633	8559	4941
634	8585	4934
635	8617	4931
636	8644	4926
637	8684	4927
638	8707	4919
639	8725	4908
640	8759	4906
641	8792	4902
642	8819	4896
643	8843	4888
644	8872	4883
645	8889	4871
646	8912	4862
647	8935	4853
648	8949	4840
649	8966	4827
650	8978	4813
651	8994	4800
652	9011	4788
653	9032	4778
654	9055	4769
655	9071	4757
656	9092	4746
657	9109	4734
658	9130	4724
659	9157	4717
660	9173	4704
661	9187	4691
662	9198	4675
663	9215	4663
664	9228	4649
665	9244	4636
666	9262	4624
667	9278	4611
668	9292	4597
669	9313	4587
670	9331	4575
671	9344	4561
672	9365	4550
673	9389	4541
674	9410	4531
675	9433	4521
676	9446	4507
677	9480	4502
678	9490	4486
679	9501	4471
680	9513	4456
681	9526	4442
682	9538	4426
683	9548	4411
684	9562	4397
685	9568	4379
686	9574	4362
687	9584	4346
688	9597	4331
689	9609	4317
690	9618	4301
691	9627	4285
692	9635	4268
693	9643	4251
694	9651	4235
695	9662	4220
696	9673	4205
697	9684	4190
698	9693	4174
699	9701	4157
700	9709	4141
701	9720	4126
702	9727	4109
703	9739	4094
704	9752	4080
705	9767	4067
706	9781	4053
707	9797	4040
708	9804	4023
709	9811	4007
710	9820	3991
711	9827	3975
712	9836	3959
713	9847	3944
714	9862	3931
715	9877	3917
716	9887	3902
717	9902	3889
718	9911	3873
719	9925	3859
720	9936	3844
721	9944	3829
722	9955	3814
723	9966	3799
724	9979	3785
725	9993	3771
726	10001	3755
727	10013	3741
728	10019	3724
729	10033	3710
730	10045	3696
731	10051	3679
732	10063	3665
733	10078	3652
734	10094	3639
735	10104	3624
736	10116	3610
737	10123	3593
738	10135	3579
739	10146	3565
740	10160	3551
741	10167	3535
742	10180	3521
743	10190	3506
744	10196	3490
745	10207	3475
746	10226	3463
747	10232	3447
748	10245	3433
749	10256	3418
750	10269	3405
751	10276	3389
752	10287	3374
753	10300	3360
754	10316	3347
755	10329	3333
756	10337	3318
757	10346	3303
758	10358	3289
759	10366	3273
760	10373	3257
761	10381	3242
762	10391	3227
763	10397	3211
764	10415	3199
765	10424	3184
766	10433	3169
767	10446	3155
768	10460	3142
769	10475	3129
770	10491	3116
771	10507	3103
772	10518	3088
773	10531	3075
774	10542	3060
775	10550	3045
776	10572	3034
777	10581	3019
778	10588	3003
779	10593	2987
780	10602	2973
781	10618	2960
782	10632	2946
783	10648	2933
784	10662	2920
785	10678	2907
786	10693	2894
787	10708	2881
788	10743	2873
789	10757	2859
790	10762	2843
791	10768	2827
792	10773	2812
793	10779	2796
794	10785	2781
795	10791	2765
796	10796	2750
797	10803	2734
798	10808	2719
799	10814	2703
800	10820	2688
801	10826	2672
802	10832	2657
803	10837	2641
804	10842	2626
805	10847	2610
806	10852	2595
807	10857	2580
808	10863	2564
809	10869	2549
810	10874	2534
811	10879	2519
812	10885	2503
813	10890	2488
814	10897	2473
815	10901	2458
816	10907	2443
817	10912	2427
818	10918	2413
819	10924	2397
820	10929	2382
821	10936	2368
822	10941	2353
823	10946	2338
824	10951	2323
825	10956	2308
826	10962	2293
827	10968	2278
828	10973	2263
829	10978	2248
830	10983	2233
831	10988	2218
832	10994	2204
833	10999	2189
834	11004	2174
835	11011	2160
836	11016	2145
837	11022	2130
838	11027	2116
839	11035	2102
840	11043	2087
841	11049	2073
842	11058	2059
843	11064	2045
844	11072	2030
845	11077	2016
846	11084	2002
847	11092	1988
848	11097	1973
849	11102	1959
850	11107	1944
851	11113	1930
852	11118	1916
853	11124	1901
854	11130	1887
855	11135	1873
856	11141	1859
857	11147	1844
858	11153	1830
859	11159	1816
860	11165	1802
861	11170	1788
862	11175	1774
863	11180	1759
864	11186	1745
865	11192	1731
866	11197	1717
867	11203	1703
868	11209	1689
869	11215	1675
870	11220	1661
871	11226	1647
872	11233	1634
873	11238	1620
874	11244	1606
875	11249	1592
876	11255	1578
877	11260	1564
878	11265	1550
879	11272	1537
880	11277	1523
881	11283	1509
882	11288	1495
883	11294	1482
884	11300	1468
885	11305	1454
886	11311	1441
887	11316	1427
888	11322	1413
889	11327	1400
890	11333	1386
891	11338	1372
892	11343	1359
893	11350	1345
894	11369	1333
895	11395	1322
896	11423	1311
897	11444	1299
898	11457	1287
899	11469	1274
900	11484	1261
901	11497	1249
902	11510	1236
903	11529	1224
904	11544	1211
905	11556	1199
906	11570	1186
907	11582	1173
908	11597	1161
909	11609	1148
910	11621	1135
911	11637	1122
912	11650	1110
913	11665	1097
914	11680	1085
915	11695	1072
916	11708	1059
917	11723	1047
918	11738	1034
919	11752	1021
920	11768	1009
921	11782	996
922	11796	984
923	11812	971
924	11826	958
925	11843	946
926	11858	933
927	11874	921
928	11890	908
929	11903	895
930	11915	883
931	11929	870
932	11942	857
933	11956	844
934	11973	832
935	11988	819
936	12006	807
937	12021	794
938	12038	782
939	12055	769
940	12069	756
941	12086	744
942	12101	731
943	12118	718
944	12133	706
945	12150	693
946	12167	680
947	12184	668
948	12199	655
949	12214	642
950	12227	629
951	12243	617
952	12257	604
953	12272	591
954	12286	578
955	12301	566
956	12314	553
957	12329	540
958	12342	527
959	12356	514
960	12367	501
961	12383	489
962	12400	476
963	12418	463
964	12431	450
965	12444	438
966	12456	425
967	12471	412
968	12486	399
969	12499	386
970	12514	373
971	12525	360
972	12538	347
973	12551	335
974	12567	322
975	12580	309
976	12594	296
977	12608	283
978	12621	270
979	12637	257
980	12654	245
981	12666	232
982	12680	219
983	12698	206
984	12716	193
985	12734	180
986	12751	167
987	12765	155
988	12779	142
989	12790	129
990	12808	116
991	12823	103
992	12840	90
993	12853	77
994	12869	64
995	12882	51
996	12897	38
997	12908	25
998	12922	12
999	12935	0
